tax_id,low,target_rank,comment
1,100,forma,
1,100,varietas,
1,100,subspecies,
1,99,species,
1,99,species_subgroup,
1,98,species_group,
1,98,subgenus,
1,97,genus,
1,97,'subtribe',
1,97,'tribe',
1,97,subfamily,
1,95,family,
1,95,superfamily,
1,95,parvorder,
1,95,infraorder,
1,95,suborder,
1,93,order,
1,93,superorder,
1,93,cohort,
1,93,infraclass,
1,93,subclass,
1,90,class,
1,90,superclass,
1,85,subphylum,
1,80,phylum,
1,80,superphylum,
1,80,subkingdom,
1,75,kingdom,
1,75,superkingdom,
1,75,root,
571,99,species,Klebsiella oxytoca
570,97,genus,Klebsiella
543,95,family,Enterobacteriaceae
